system,replica,candidate_clusters,silhouette_score
Apo,1,2,0.1181446760892868
Apo,1,3,0.11506736278533936
Apo,1,4,0.10351286828517914
Apo,1,5,0.09721186012029648
Apo,1,6,0.09159130603075027
Apo,2,2,0.17162542045116425
Apo,2,3,0.0992535874247551
Apo,2,4,0.09755924344062805
Apo,2,5,0.0886666476726532
Apo,2,6,0.08680009841918945
Apo,3,2,0.08818310499191284
Apo,3,3,0.07315578311681747
Apo,3,4,0.06977927684783936
Apo,3,5,0.066645048558712
Apo,3,6,0.06172855570912361
Z944,1,2,0.11961069703102112
Z944,1,3,0.0782957673072815
Z944,1,4,0.07291384041309357
Z944,1,5,0.06761442869901657
Z944,1,6,0.060692448168992996
Z944,2,2,0.22181859612464905
Z944,2,3,0.11114957928657532
Z944,2,4,0.09826880693435669
Z944,2,5,0.09637033194303513
Z944,2,6,0.08830462396144867
Z944,3,2,0.09997516125440598
Z944,3,3,0.09339006245136261
Z944,3,4,0.08504711091518402
Z944,3,5,0.07793061435222626
Z944,3,6,0.07501708716154099
mZ944,1,2,0.15690146386623383
mZ944,1,3,0.0956038385629654
mZ944,1,4,0.0838209018111229
mZ944,1,5,0.08257605135440826
mZ944,1,6,0.07996563613414764
mZ944,2,2,0.31741592288017273
mZ944,2,3,0.15588438510894775
mZ944,2,4,0.13242262601852417
mZ944,2,5,0.10154607892036438
mZ944,2,6,0.09905499219894409
mZ944,3,2,0.17123767733573914
mZ944,3,3,0.13094080984592438
mZ944,3,4,0.11473042517900467
mZ944,3,5,0.1063358336687088
mZ944,3,6,0.10135944932699203
